,buyprice,buytime,date,pnl,quantity,sellprice,selltime,sl,type
0,224.9,12:51:00,2020-11-13,-295.0000000000017,100.0,221.95,09:30:00,224.9,sell
1,224.9,12:52:00,2020-11-13,444.99999999999886,100.0,229.35,15:15:00,221.95,buy
2,235.0,09:30:00,2020-11-17,515.0000000000006,100.0,240.15,15:15:00,231.25,buy
3,245.4,09:42:00,2020-11-18,650.0,100.0,251.9,15:15:00,238.1,buy
4,250.3,09:34:00,2020-11-19,-360.0000000000023,100.0,246.7,10:55:00,246.7,buy
5,250.3,12:21:00,2020-11-19,-360.0000000000023,100.0,246.7,13:28:00,246.7,buy
6,239.95,15:15:00,2020-11-19,675.0,100.0,246.7,13:29:00,250.3,sell
7,243.8,14:16:00,2020-11-20,-525.0,100.0,238.55,09:31:00,243.8,sell
8,243.8,14:17:00,2020-11-20,-30.000000000001137,100.0,243.5,15:15:00,238.55,buy
9,239.0,15:15:00,2020-11-23,375.0,100.0,242.75,09:30:00,246.15,sell
10,241.8,09:30:00,2020-11-24,-220.0000000000017,100.0,239.6,09:50:00,239.6,buy
11,241.8,10:15:00,2020-11-24,194.99999999999886,100.0,243.75,15:15:00,239.6,buy
12,248.9,09:30:00,2020-11-25,-340.00000000000057,100.0,245.5,10:29:00,245.5,buy
13,248.9,13:39:00,2020-11-25,-340.00000000000057,100.0,245.5,10:30:00,248.9,sell
14,248.9,13:40:00,2020-11-25,-340.00000000000057,100.0,245.5,13:53:00,245.5,buy
15,244.5,14:07:00,2020-11-26,-394.99999999999886,100.0,240.55,12:15:00,244.5,sell
16,244.5,14:12:00,2020-11-26,84.99999999999943,100.0,245.35,15:15:00,240.55,buy
17,244.25,15:15:00,2020-11-27,-59.99999999999943,100.0,243.65,09:42:00,246.0,sell
18,246.15,10:26:00,2020-12-01,-184.99999999999943,100.0,244.3,09:35:00,246.15,sell
19,246.15,10:27:00,2020-12-01,175.0,100.0,247.9,15:15:00,244.3,buy
20,249.85,09:38:00,2020-12-02,-325.0,100.0,246.6,12:57:00,246.6,buy
21,247.0,15:15:00,2020-12-02,-40.00000000000057,100.0,246.6,12:58:00,249.85,sell
22,250.0,09:50:00,2020-12-03,639.9999999999977,100.0,256.4,15:15:00,248.0,buy
23,258.4,10:12:00,2020-12-04,-334.9999999999966,100.0,255.05,12:49:00,255.05,buy
