,buyprice,buytime,date,pnl,pos,quantity,sellprice,selltime,sl,target,type
0,224.2,12:30:00,2020-11-13,135.83351197773936,closed,100.0,225.55833511977738,13:00:00,223.6474005203947,225.55833511977738,buy
1,225.35,13:05:00,2020-11-13,114.56516879289325,closed,100.0,226.49565168792893,13:45:00,224.28173300766665,226.49565168792893,buy
2,226.8,13:50:00,2020-11-13,194.6261865855348,closed,100.0,228.74626186585536,14:50:00,226.40669716296205,228.74626186585536,buy
3,228.7,14:55:00,2020-11-13,165.87598994723294,closed,100.0,230.35875989947232,15:20:00,227.92201768580773,230.35875989947232,buy
4,234.2,09:15:00,2020-11-17,107.71756054505772,closed,100.0,235.27717560545057,10:45:00,235.27717560545057,238.32509785925137,buy
5,236.25,10:50:00,2020-11-17,97.28243945494341,closed,100.0,237.22282439454943,11:40:00,235.27717560545057,237.22282439454943,buy
6,237.0,11:45:00,2020-11-17,110.88537423806883,closed,100.0,238.1088537423807,13:20:00,236.85055953573385,238.1088537423807,buy
7,238.05,13:25:00,2020-11-17,69.40467866145354,closed,100.0,238.74404678661455,13:40:00,237.4470721098737,238.74404678661455,buy
8,238.3,13:45:00,2020-11-17,65.2635091183754,closed,100.0,238.95263509118377,14:10:00,237.66421175891247,238.95263509118377,buy
9,238.6,14:15:00,2020-11-17,68.9709423012971,closed,100.0,239.28970942301297,14:15:00,237.91029057698702,239.28970942301297,buy
10,239.15,14:20:00,2020-11-17,123.97094230129824,closed,100.0,240.389709423013,15:10:00,238.71588557422947,240.389709423013,buy
11,243.1,09:15:00,2020-11-18,-465.7316772631816,closed,100.0,238.44268322736818,09:15:00,238.44268322736818,247.7573167726318,buy
12,243.35,09:20:00,2020-11-18,255.15850969089797,closed,100.0,245.90158509690897,09:40:00,241.94857340652362,245.90158509690897,buy
13,246.1,09:45:00,2020-11-18,-186.35221399120496,closed,100.0,244.23647786008794,11:05:00,244.23647786008794,249.0621359979596,buy
14,245.85,13:00:00,2020-11-18,164.20300317431042,closed,100.0,247.4920300317431,13:40:00,245.5344036865563,247.4920300317431,buy
15,248.2,13:45:00,2020-11-18,146.25852412630707,closed,100.0,249.66258524126306,14:25:00,246.73741475873692,249.66258524126306,buy
16,250.2,14:30:00,2020-11-18,238.4250016170654,closed,100.0,252.58425001617064,15:20:00,250.1084808938464,252.58425001617064,buy
17,251.02675386700693,09:30:00,2020-11-19,-392.6753867006937,closed,100.0,247.1,09:15:00,251.02675386700693,242.9036068144393,sell
18,249.82148589251457,12:20:00,2020-11-19,-282.14858925145734,closed,100.0,247.0,10:50:00,249.82148589251457,244.17851410748543,sell
19,245.89066385853798,13:35:00,2020-11-19,175.9336141462029,closed,100.0,247.65,13:00:00,248.45913595835472,245.89066385853798,sell
20,244.15834987373265,13:45:00,2020-11-19,159.16501262673535,closed,100.0,245.75,13:40:00,247.34165012626735,244.15834987373265,sell
21,242.90376339772342,14:05:00,2020-11-19,154.6236602276565,closed,100.0,244.45,13:50:00,245.99623660227655,242.90376339772342,sell
22,239.94196916524635,14:25:00,2020-11-19,215.8030834753646,closed,100.0,242.1,14:10:00,243.36375497615046,239.94196916524635,sell
23,239.0466084693181,14:30:00,2020-11-19,190.3391530681887,closed,100.0,240.95,14:30:00,242.85339153068188,239.0466084693181,sell
24,241.44660846931814,14:35:00,2020-11-19,70.33915306818699,closed,100.0,242.15,14:35:00,242.85339153068188,241.44660846931814,sell
25,235.27514339576985,10:50:00,2020-11-20,352.4856604230166,closed,100.0,238.8,09:30:00,238.48871199576124,235.27514339576985,sell
26,236.8624383575654,11:55:00,2020-11-20,-201.24383575654008,closed,100.0,234.85,10:55:00,236.8624383575654,232.3716432834334,sell
27,240.55,13:00:00,2020-11-20,-228.610181774701,closed,100.0,238.263898182253,13:30:00,238.263898182253,245.15955757527445,buy
28,239.9,13:35:00,2020-11-20,163.61018177470044,closed,100.0,241.536101817747,13:45:00,238.263898182253,241.536101817747,buy
29,243.0,13:50:00,2020-11-20,-75.41608225493803,closed,100.0,242.24583917745062,14:30:00,242.24583917745062,246.26778621248533,buy
30,244.35,14:40:00,2020-11-20,-210.41608225493746,closed,100.0,242.24583917745062,15:20:00,242.24583917745062,246.45416082254937,buy
31,244.5,09:20:00,2020-11-23,-326.078848299278,closed,100.0,241.23921151700722,09:50:00,241.23921151700722,247.76078848299278,buy
32,241.679608450674,11:30:00,2020-11-23,-247.96084506740215,closed,100.0,239.2,09:55:00,241.679608450674,236.07265727702884,sell
33,242.0,13:50:00,2020-11-23,-185.29143715199154,closed,100.0,240.14708562848008,14:20:00,240.14708562848008,243.85291437151992,buy
34,238.9,15:20:00,2020-11-23,9.999999999999432,closed,100.0,239.0,14:40:00,240.381501543403,236.80416801977455,sell
35,241.75,09:25:00,2020-11-24,-82.9718294616896,closed,100.0,240.9202817053831,12:30:00,240.9202817053831,244.21788283672763,buy
36,241.40667635655691,13:50:00,2020-11-24,-140.66763565569147,closed,100.0,240.0,12:40:00,241.40667635655691,238.36202627049227,sell
37,242.05,14:10:00,2020-11-24,158.32810702595168,closed,100.0,243.63328107025953,14:35:00,241.22375539974024,243.63328107025953,buy
38,242.75,14:40:00,2020-11-24,103.112014023381,closed,100.0,243.7811201402338,15:10:00,242.017743356554,243.7811201402338,buy
39,246.0,09:15:00,2020-11-25,135.52487253884067,closed,100.0,247.3552487253884,09:20:00,244.6447512746116,247.3552487253884,buy
40,248.5,09:25:00,2020-11-25,-173.82498856740085,closed,100.0,246.761750114326,10:15:00,246.761750114326,250.47575146756463,buy
41,246.08781500789772,12:40:00,2020-11-25,-203.78150078977058,closed,100.0,244.05,11:15:00,246.08781500789772,241.8273493039005,sell
42,247.5,13:05:00,2020-11-25,-54.71220838985005,closed,100.0,246.9528779161015,13:50:00,246.9528779161015,249.92445936592628,buy
43,243.8020021915076,09:30:00,2020-11-26,-210.20021915076086,closed,100.0,241.7,09:15:00,243.8020021915076,238.64313828325427,sell
44,241.1979978084924,10:00:00,2020-11-26,130.20021915075972,closed,100.0,242.5,09:35:00,243.8020021915076,241.1979978084924,sell
45,241.9933816682322,12:35:00,2020-11-26,-64.33816682321947,closed,100.0,241.35,10:05:00,241.9933816682322,239.12998105146204,sell
46,242.95,12:45:00,2020-11-26,-66.56356474399843,closed,100.0,242.28436435256,13:50:00,242.28436435256,244.68898122214696,buy
47,244.25,14:05:00,2020-11-26,167.3676485030029,closed,100.0,245.92367648503003,14:35:00,243.22707204712566,245.92367648503003,buy
48,245.8,14:40:00,2020-11-26,-35.000000000002274,closed,100.0,245.45,15:20:00,243.9474364984029,247.74973722689276,buy
49,243.80278699114453,11:35:00,2020-11-27,-60.27869911445407,closed,100.0,243.2,09:40:00,243.80278699114453,240.85484860435767,sell
50,244.15,12:25:00,2020-11-27,-120.13145171431461,closed,100.0,242.94868548285686,12:50:00,242.94868548285686,245.50512965314562,buy
51,243.54787854927707,13:35:00,2020-11-27,-109.7878549277084,closed,100.0,242.45,13:10:00,243.54787854927707,240.9810141366949,sell
52,244.25,14:10:00,2020-11-27,-60.62599089795242,closed,100.0,243.64374009102048,14:45:00,243.64374009102048,245.8873277430262,buy
53,245.15,14:50:00,2020-11-27,-100.0,closed,100.0,244.15,15:20:00,243.75710287371854,246.65625990897954,buy
54,245.4,09:15:00,2020-12-01,160.8055872519344,closed,100.0,247.00805587251935,10:30:00,244.62855037121562,247.00805587251935,buy
55,247.25,10:35:00,2020-12-01,-124.3287282444868,closed,100.0,246.00671271755513,12:25:00,246.00671271755513,248.92012419931535,buy
56,246.48087748142626,13:00:00,2020-12-01,-118.08774814262506,closed,100.0,245.3,12:40:00,246.48087748142626,244.11912251857376,sell
57,247.3,14:05:00,2020-12-01,160.37756503334037,closed,100.0,248.90377565033342,14:55:00,246.77645326295152,248.90377565033342,buy
58,249.4,09:20:00,2020-12-02,-146.76229417835032,closed,100.0,247.9323770582165,10:15:00,247.9323770582165,252.28498482918167,buy
59,249.1,12:15:00,2020-12-02,86.547556394558,closed,100.0,249.96547556394557,12:25:00,248.23452443605441,249.96547556394557,buy
60,250.15,12:30:00,2020-12-02,-111.33316861163678,closed,100.0,249.03666831388364,12:50:00,249.03666831388364,251.26333168611637,buy
61,244.95767177266512,13:40:00,2020-12-02,214.23282273348718,closed,100.0,247.1,12:55:00,247.68057395367507,244.95767177266512,sell
62,245.12748344169242,13:55:00,2020-12-02,97.2516558307575,closed,100.0,246.1,13:45:00,247.07251655830757,245.12748344169242,sell
63,246.2171891825372,14:45:00,2020-12-02,-121.71891825371972,closed,100.0,245.0,14:00:00,246.2171891825372,243.26678438609443,sell
64,249.2,09:15:00,2020-12-03,220.73519615173893,closed,100.0,251.40735196151738,09:55:00,248.19568296709733,251.40735196151738,buy
65,253.7,10:00:00,2020-12-03,310.7246796651168,closed,100.0,256.80724679665116,10:25:00,253.13572537671718,256.80724679665116,buy
66,257.45,10:30:00,2020-12-03,-132.76902155648145,closed,100.0,256.1223097844352,12:20:00,256.1223097844352,259.87831244485915,buy
67,257.2,12:35:00,2020-12-03,-107.76902155648145,closed,100.0,256.1223097844352,13:00:00,256.1223097844352,258.2776902155648,buy
68,257.35749130007696,09:40:00,2020-12-04,-175.7491300076964,closed,100.0,255.6,09:25:00,257.35749130007696,253.84250869992303,sell
69,257.9,10:05:00,2020-12-04,214.5815139841318,closed,100.0,260.0458151398413,10:15:00,256.4737663741427,260.0458151398413,buy
70,260.85,10:20:00,2020-12-04,-208.82443819249374,closed,100.0,258.7617556180751,10:55:00,258.7617556180751,263.08949923694433,buy
71,256.2327081845637,13:05:00,2020-12-04,-33.270818456369966,closed,100.0,255.9,12:30:00,256.2327081845637,253.61569300993466,sell
72,258.8,13:40:00,2020-12-04,178.28391208829544,closed,100.0,260.58283912088297,14:35:00,258.3864642791238,260.58283912088297,buy
73,262.0,14:40:00,2020-12-04,135.00000000000227,closed,100.0,263.35,15:20:00,261.91466400634914,264.42046393390973,buy
74,264.8,09:15:00,2020-12-07,-125.03096450255384,closed,100.0,263.5496903549745,10:20:00,263.5496903549745,267.3066221548572,buy
75,264.85,11:50:00,2020-12-07,121.19786655559892,closed,100.0,266.061978665556,12:10:00,263.85924255280975,266.061978665556,buy
76,268.15,12:15:00,2020-12-07,200.72635322241013,closed,100.0,270.1572635322241,12:55:00,267.50525460755415,270.1572635322241,buy
77,269.45,13:00:00,2020-12-07,144.4743767881164,closed,100.0,270.89474376788115,13:10:00,268.02223060890697,270.89474376788115,buy
